"code","forType","oldCode","codeKZ","nationalDivisionCode","name","fullNameSubdivision","type","country.alpha2Code","parent.code","placeArrivalDeparture","workingMode","signCustomsAuthority","inn","startDate","expirationDate","creationOrderNumber","creationOrderDate","liquidationOrderNumber","dateLiquidationOrder","isActive","tsd","preInfoImAvia","preInfoImAuto","preInfoImRail"
"41700000",,"900000",,"41700000","ЦЕНТРАЛЬНЫЙ  АППАРАТ","ЦЕНТРАЛЬНЫЙ АППАРАТАТ ГТС ПРИ ПКР",customsDepartment,"KG",,"false",,"00000","12345678912345","30/12/1991","01/01/2100","УП 42","30/12/1991",,,"true","false","false","false","false"
"41750000",,"950000",,"41750000","БАТКЕНСКАЯ ","БАТКЕНСКАЯ ТАМОЖНЯ",customsDepartment,"KG","41700000","false",,"00000","911199910099","11/08/2015","01/01/2100","43-П","10/08/2015",,,"true","false","false","false","false"
"41781000",,"981000",,"41781000","МАНАС","ТАМОЖНЯ ""МАНАС""",customsDepartment,"KG","41700000","false","onSchedule","00000","3112199610138","14/03/2011","01/01/2100","18-П","14/03/2011",,,"true","false","false","false","false"
"41781001","3","981001",,"41781001","МПТП ""АЭРОПОРТ МАНАС""","ТАМОЖНЯ ""МАНАС"" МЕСТО ПРЕДВАРИТЕЛЬНЫХ ТАМОЖЕННЫХ ПРОЦЕДУР ""АЭРОПОРТ МАНАС""",customsDepartment,"KG","41781000","true","aroundClock","00011",,"18/11/2007","01/01/2100","ППКР 556","18/11/2007",,,"true","false","false","false","false"
"41750001","1","950001",,"41750001","МПТП  ""КЫЗЫЛ-КЫЯ""","МЕСТО ПРЕДВАРИТЕЛЬНЫХ ТАМОЖЕННЫХ ПРОЦЕДУР ""КЫЗЫЛ-КЫЯ""",customsDepartment,"KG","41750000","true","other","00011",,"18/11/2007","01/01/2100","ППКР 556","18/11/2007",,,"true","false","false","false","false"
"41750003","1","950003",,"41750003","МПТП ""КЫЗЫЛ-БЕЛЬ""","МЕСТО ПРЕДВАРИТЕЛЬНЫХ ТАМОЖЕННЫХ ПРОЦЕДУР ""КЫЗЫЛ-БЕЛЬ""",customsDepartment,"KG","41750000","true","other","00011",,"18/11/2007","01/01/2100","ППКР 556","18/11/2007",,,"true","false","false","false","false"
"41750005","2","950005",,"41750005","МТО ""ЖД КЫЗЫЛ-КЫЯ""","МЕСТО ТАМОЖЕННОГО ОФОРМЛЕНИЯ ""ЖД КЫЗЫЛ-КЫЯ""",customsDepartment,"KG","41750000","true","aroundClock","10010",,"11/08/2015","01/01/2100","43-П","10/08/2015",,,"true","false","false","false","true"
"41750002","1","950002",,"41750002","МПТП ""КАЙРАГАЧ""","МЕСТО ПРЕДВАРИТЕЛЬНЫХ ТАМОЖЕННЫХ ПРОЦЕДУР ""КАЙРАГАЧ""",customsDepartment,"KG","41750000","true","other","00011",,"18/11/2007","01/01/2100","ППКР 556","18/11/2007",,,"true","false","false","true","false"
"41781002",,"981002",,"41781002","МТО ""КММ""","ТАМОЖНЯ ""МАНАС"" МЕСТО ТАМОЖЕННОГО ОФОРМЛЕНИЯ ""КММ""",customsDepartment,"KG","41781000","true","other","10010",,"14/03/2011","01/01/2100","18-П","14/03/2011",,,"true","true","true","false","false"
"41761000",,"961000",,"41761000","ОТ ""ЮГ""","ОПЕРАТИВНАЯ ТАМОЖНЯ ПО ЮЖНОМУ РЕГИОНУ",customsDepartment,"KG","41700000","false",,"00000",,"11/08/2015","01/01/2100","45-П","10/08/2015",,,"true","false","false","false","false"
"41750013",,"940506",,"41750013","ПУНКТ ПЕРЕСЕЧЕНИЯ ""КЫЗЫЛ-КИЯ ЖЕЛЕЗНОДОРОЖНЫЙ""","ПУНКТ ПЕРЕСЕЧЕНИЯ ""КЫЗЫЛ-КИЯ ЖЕЛЕЗНОДОРОЖНЫЙ""",customsDepartment,"KG","41750000","true","other",,,"11/08/2015","01/01/2100","43-П","10/08/2015",,,"false","false","false","false","false"
"41762000",,"417600",,"41762000","ЮГО - ЗАПАДНАЯ ","ЮГО - ЗАПАДНАЯ ТАМОЖНЯ",customsDepartment,"KG","41700000","false",,"00000",,"05/04/2018","01/01/2100","2-П","05/04/2018",,,"true","false","false","false","false"
"41714000",,"710000",,"41714000","СЕВЕРО-ВОСТОЧНАЯ ТАМОЖНЯ","СЕВЕРО-ВОСТОЧНАЯ ТАМОЖНЯ",customsDepartment,"KG","41700000","false",,"00000",,"05/04/2018","01/01/2100","2-П","05/04/2018",,,"true","false","false","false","false"
"41714100",,"710100",,"41714100","ЦТО ""БИШКЕК""","ЦЕНТР ТАМОЖЕННОГО ОФОРМЛЕНИЯ ""БИШКЕК""",customsDepartment,"KG","41714000","false",,"00000",,"05/04/2018","01/01/2100","2-П","05/04/2018",,,"true","false","false","false","false"
"41762100",,"417601",,"41762100","ЦТУ ""ОШ""","ЦЕНТР ТАМОЖЕННОГО УПРАВЛЕНИЯ ""ОШ""",customsDepartment,"KG","41762000","false",,,,"05/04/2018","01/01/2100","6-П","05/04/2018",,,"true","false","false","false","false"
"41762101","1","760102",,"41762101","МПТП ""ДОСТУК""","МЕСТО ПРЕДВАРИТЕЛЬНЫХ ТАМОЖЕННЫХ ПРОЦЕДУР ""ДОСТУК""",customsDepartment,"KG","41762100","true","aroundClock","00011",,"05/04/2018","01/01/2100","6-П","05/04/2018",,,"true","false","false","false","false"
"41762102","1","760107",,"41762102","МПТП  ""БОР-ДОБО""","МЕСТО ПРЕДВАРИТЕЛЬНЫХ ТАМОЖЕННЫХ ПРОЦЕДУР ""БОР-ДОБО""",customsDepartment,"KG","41762100","true","other","00011",,"05/04/2018","01/01/2100","6-П","05/04/2018",,,"true","false","false","false","false"
"41762103","1","760106",,"41762103","МПТП ""КАРА-МЫК""","МЕСТО ПРЕДВАРИТЕЛЬНЫХ ТАМОЖЕННЫХ ПРОЦЕДУР ""КАРА-МЫК""",customsDepartment,"KG","41762100","true","other","00011",,"05/04/2018","01/01/2100","6-П","05/04/2018",,,"true","false","false","false","false"
"41762104","1","760101",,"41762104","МПТП  ""ИРКЕШТАМ""","МЕСТО ПРЕДВАРИТЕЛЬНЫХ ТАМОЖЕННЫХ ПРОЦЕДУР ""ИРКЕШТАМ""",customsDepartment,"KG","41762100","true","other","00011",,"05/04/2018","01/01/2100","6-П","05/04/2018",,,"true","false","false","false","false"
"41762105","2","760113",,"41762105","МТО И МПТП ""КАРА-СУУ-ЖЕЛЕЗНОДОРОЖНЫЙ""","МЕСТО ТАМОЖЕННОГО ОФОРМЛЕНИЯ  ""КАРА-СУУ-ЖЕЛЕЗНОДОРОЖНЫЙ"" И МЕСТО ПРЕДВАРИТЕЛЬНЫХ ТАМОЖЕННЫХ ПРОЦЕДУР ""КАРА-СУУ-ЖЕЛЕЗНОДОРОЖНЫЙ""",customsDepartment,"KG","41762100","true","other","10011",,"05/04/2018","01/01/2100","6-П","05/04/2018",,,"true","false","false","false","false"
"41762106",,"760112",,"41762106","МТО ""Ж\Д ОШ""","МЕСТО ТАМОЖЕННОГО ОФОРМЛЕНИЯ"" Ж\Д ОШ""",customsDepartment,"KG","41762100","true","onSchedule","10010",,"05/04/2018","01/01/2100","6-П","05/04/2018",,,"true","false","false","false","false"
"41762107",,"760116",,"41762107","МТО ""БИМИ ОШ СЕРВИС""","МЕСТО ТАМОЖЕННОГО ОФОРМЛЕНИЯ ""БИМИ ОШ СЕРВИС""",customsDepartment,"KG","41762100","true","onSchedule","10010",,"05/04/2018","01/01/2100","6-П","05/04/2018",,,"true","false","false","false","false"
"41762109","3","760202",,"41762109","МПТП И ТО ""АЭРОПОРТ ОШ""","МЕСТО ПРЕДВАРИТЕЛЬНЫХ ТАМОЖЕННЫХ ПРОЦЕДУР И ТАМОЖЕННОГО ОФОРМЛЕНИЯ ""АЭРОПОРТ ОШ""",customsDepartment,"KG","41762100","true","aroundClock",,,"18/09/2022","01/01/2100","26-П","07/09/2022",,,"true","false","false","false","false"
"41762108",,"0",,"41762108","МТО ""МЕГА ЛОГИСТИК""","МЕСТО ТАМОЖЕННОГО ОФОРМЛЕНИЯ ""МЕГА ЛОГИСТИК""",customsDepartment,"KG","41762100","false","onSchedule","10010",,"05/04/2018","01/01/2100","6-П","05/04/2018",,,"true","false","false","false","false"
"41714101",,"710102",,"41714101","МТО ""БИЗНЕС-ТРАНС-СЕРВИС""","ЦЕНТР ТАМОЖЕННОГО УПРАВЛЕНИЯ ""БИШКЕК"" МЕСТО ТАМОЖЕННОГО ОФОРМЛЕНИЯ ""БИЗНЕС-ТРАНС-СЕРВИС""",customsDepartment,"KG","41714100","false","onSchedule","10010",,"05/04/2018","01/01/2100","2-П","05/04/2018",,,"true","false","false","false","false"
"41714102",,"710104",,"41714102","МТО ""АВТОМОБИЛЬНЫЙ"" ЦТУ ""БИШКЕК""","ЦЕНТР ТАМОЖЕННОГО УПРАВЛЕНИЯ ""БИШКЕК"" МЕСТО ТАМОЖЕННОГО ОФОРМЛЕНИЯ ""АВТОМОБИЛЬНЫЙ""",customsDepartment,"KG","41714100","false","onSchedule","10010",,"05/04/2018","01/01/2100","2-П","05/04/2018",,,"true","false","false","false","false"
"41714300",,"710300",,"41714300","ЦТУ ""СЭЗ БИШКЕК""","ЦЕНТР ТАМОЖЕННОГО УПРАВЛЕНИЯ ""СЭЗ БИШКЕК""",customsDepartment,"KG","41714000","false",,"00000",,"05/04/2018","01/01/2100","2-П","05/04/2018",,,"true","false","false","false","false"
"41714103",,"710105",,"41714103","МТО ""КЫРГЫЗМЕБЕЛЬ""","ЦЕНТР ТАМОЖЕННОГО УПРАВЛЕНИЯ ""БИШКЕК"" МЕСТО ТАМОЖЕННОГО ОФОРМЛЕНИЯ ""КЫРГЫЗМЕБЕЛЬ""",customsDepartment,"KG","41714100","false","onSchedule","10010",,"05/04/2018","01/01/2100","2-П","05/04/2018",,,"true","false","false","false","false"
"41714301",,"713101",,"41714301","МТО ""НАЦИОНАЛЬНЫЙ ВЫСТАВОЧНЫЙ ЦЕНТР""","ЦЕНТР ТАМОЖЕННОГО УПРАВЛЕНИЯ ""СЭЗ БИШКЕК"" МЕСТО ТАМОЖЕННОГО ОФОРМЛЕНИЯ ""НАЦИОНАЛЬНЫЙ ВЫСТАВОЧНЫЙ ЦЕНТР""",customsDepartment,"KG","41714300","false",,"10010",,"05/04/2018","01/01/2100","2-П","05/04/2018",,,"true","false","false","false","false"
"41762200",,"730000",,"41762200","ЦТУ ""ЖАЛАЛ-АБАД""","ЦЕНТР ТАМОЖЕННОГО УПРАВЛЕНИЯ ""ЖАЛАЛ-АБАД""",customsDepartment,"KG","41762000","false",,"00000",,"05/04/2018","01/01/2100","6-П","05/04/2018",,,"true","false","false","false","false"
"41762201","2","730012",,"41762201","МПТП И МТО ""ШАМАЛДЫ-САЙ ЖЕЛЕЗНОДОРОЖНЫЙ""","ЦЕНТР ТАМОЖЕННОГО УПРАВЛЕНИЯ ""ДЖАЛАЛ-АБАД"" МЕСТО ПРЕДВАРИТЕЛЬНЫХ ТАМОЖЕННЫХ ПРОЦЕДУР И МЕСТО ТАМОЖЕННОГО ОФОРМЛЕНИЯ ""ШАМАЛДЫ-САЙ ЖЕЛЕЗНОДОРОЖНЫЙ""",customsDepartment,"KG","41762200","true","other","10011",,"05/04/2018","01/01/2100","6-П","05/04/2018",,,"true","false","false","false","true"
"41762202",,"730009",,"41762202","МТО ""ЛАВДАН КАРГО""","ЦЕНТР ТАМОЖЕННОГО УПРАВЛЕНИЯ ""ДЖАЛАЛ-АБАД""  МЕСТО ТАМОЖЕННОГО ОФОРМЛЕНИЯ ""ЛАВДАН КАРГО""",customsDepartment,"KG","41762200","false",,"10010",,"05/04/2018","01/01/2100","6-П, 19-П ОТ 24.08.2018 ","05/04/2018",,,"true","false","false","false","false"
